DBN,School Name,Curved Teacher Improvement,Teacher Improvement
22K217,P.S. 217 Colonel David Marcus School,0.685431482,0.766153846
22K222,P.S. 222 Katherine R. Snyder,0.821458101,0.880645161
22K234,J.H.S. 234 Arthur W. Cunningham,0.716622077,0.727619048
22K236,P.S. 236 Mill Basin,0.845843582,0.85882353
22K240,Andries Hudde,0.69384156,0.711864406
22K245,P.S. 245,0.942857143,0.942857143
22K251,P.S. 251 Paerdegat,0.583741186,0.636842105
22K254,P.S. 254 Dag Hammarskjold,0.736930314,0.794594594
22K255,P.S. 255 Barbara Reing School,0.804562469,0.834285714
22K269,P.S. 269 Nostrand,0.53181737,0.72
22K277,P.S. 277 Gerritsen Beach,0.876470588,0.876470588
22K278,J.H.S. 278 Marine Park,0.683238801,0.716216216
22K312,P.S. 312 Bergen Beach,0.842403895,0.864285715
22K315,P.S. K315,0.702595442,0.74893617
22K326,P.S. 326,0.947368421,0.947368421
22K361,P.S. 361 East Flatbush Early Childhood School,0.511669659,0.664
22K381,I. S. 381,0.683986495,0.725
22K405,Midwood High School,0.483836193,0.660869566
22K425,James Madison High School,0.569170798,0.830555556
22K495,Sheepshead Bay High School,0.520193506,0.664285714
22K535,Leon M. Goldstein High School for the Sciences,0.420395912,0.607407408
22K555,Brooklyn College Academy,0.8625,0.8625
22K611,Origins High School,0.883333333,0.883333333
22K630,Professional Pathways High School,0.893333333,0.893333333
23K041,P.S. 041 Francis White,0.524378103,0.675
23K073,P.S. 073 Thomas S. Boyland,0.770791531,0.907692308
23K137,P.S./I.S. 137 Rachel Jean Mitchell,0.66624349,0.79
23K155,P.S./ I.S. 155 Nicholas Herkimer,0.851793611,0.864864865
23K156,P.S. 156 Waverly,0.762772907,0.808510638
23K165,P.S. 165 Ida Posner,0.59886143,0.735999999
23K178,P.S. 178 Saint Clair Mckelway,0.746233,0.8
23K184,P.S. 184 Newport,0.572394413,0.66060606
23K284,P.S. 284 Lew Wallace,0.688702467,0.751351352
23K298,P.S. 298 Dr. Betty Shabazz,0.693174886,0.8
23K323,P.S./I.S. 323,0.807606817,0.82
23K327,P.S. 327 Dr. Rose B. English,0.651345367,0.751724138
23K363,Brownsville Collaborative Middle School,0.736851002,0.76
23K392,I.S. 392,0.894736842,0.894736842
23K401,Christopher Avenue Community School,0.708468812,0.723076923
23K446,Riverdale Avenue Community School,0.807407407,0.807407407
23K493,Brooklyn Collegiate: A College Board School,0.808333333,0.808333333
