DBN,School Name,Teacher Expectation
15K497,School for International Studies,0.404738792
15K519,Cobble Hill School of American Studies,0.400703521
15K529,West Brooklyn Community High School,0.511703195
15K592,Khalil Gibran International Academy,0.625125157
15K656,Brooklyn High School of the Arts,0.47550393
15K667,Sunset Park High School,0.482549032
15K684,Millennium Brooklyn HS,0.612795095
15K698,South Brooklyn Community High School,0.422087789
15K821,Sunset Park Prep,0.590854448
16K035,M.S. 035 Stephen Decatur,0.806670623
16K057,J.H.S. 057 Whitelaw Reid,0.713898356
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary School,0.76225776
16K267,"M.S. 267 Math, Science & Technology",0.662793716
16K308,P.S. 308 Clara Cardwell,0.665646921
16K385,"School of Business, Finance and Entrepreneurship",0.75708709
16K393,Frederick Douglass Academy IV Secondary School,0.668033961
16K455,Boys and Girls High School,0.319183415
16K498,Brooklyn High School for Law and Technology,0.413139547
16K534,Upper School @ P.S. 25,0.67010428
16K584,M.S. 584,0.545198839
16K594,Gotham Professional Arts Academy,0.559236472
16K669,Research and Service High School,0.38842981
16K681,Madiba Prep Middle School,0.666946537
16K688,The Brooklyn Academy of Global Finance,0.495270853
16K765,Nelson Mandela High School,0.509530459
16K959,BOYS AND GIRLS YABC,0.491130294
17K002,Parkside Preparatory Academy,0.597609453
17K061,M.S. 061 Dr. Gladstone H. Atwell,0.587202351
17K122,Pathways in Technology Early College High School (P-Tech),0.371791455
17K138,P.S. 138 Brooklyn,0.754538306
17K181,P.S. 181 Brooklyn,0.577672154
17K189,P.S. 189 The Bilingual Center,0.732507139
17K246,M.S. 246 Walt Whitman,0.64319916
17K334,Middle School for Academic and Social Excellence,0.616807521
17K340,I.S. 340,0.607974384
17K352,Ebbets Field Middle School,0.659941068
17K353,Elijah Stroud Middle School 353,0.652682812
17K354,The School of Integrated Learning,0.907546053
17K382,Academy for College Preparation and Career Exploration: A College Board School,0.424842993
17K394,M.S. K394,0.643675732
17K408,Academy of Hospitality and Tourism,0.473301255
17K467,Erasmus Yabc,0.431273276
17K484,Ronald Edmonds Learning Center II,0.828848464
17K489,W.E.B. Dubois Academic High School,0.337385394
17K524,International High School at Prospect Heights,0.558492666
17K528,The High School for Global Citizenship,0.604287522
17K531,"School for Human Rights, The",0.700906525
17K533,School for Democracy and Leadership,0.5375559
17K537,High School for Youth and Community Development at Erasmus,0.499469505
17K539,High School for Service & Learning at Erasmus,0.468925913
17K543,"Science, Technology and Research Early College High School at Erasmus",0.715448735
17K546,High School for Public Service: Heroes of Tomorrow,0.70419281
