DBN,School Name,how loyal teachers feel towards their school
02M580,Richard R. Green High School of Teaching,27.8
27Q475,Richmond Hill High School,43.26666667
10X141,Riverdale/Kingsbridge Academy,60
25Q670,Robert F. Kennedy Community High School,36.73333333
24Q560,Robert F. Wagner Jr. Secondary School for Arts and Technology,27.46666667
27Q308,Robert H. Goddard High School of Communication Arts and Technology,27.06666667
27Q351,Rockaway Collegiate High School,9.6
27Q324,Rockaway Park High School for Environmental Sustainability,18.66666667
27Q323,Scholars' Academy,52.46666667
17K533,School for Democracy and Leadership,11.6
09X404,School for Excellence,19.4
17K531,School for Human Rights,25.4
15K497,School for International Studies,19.93333333
14K477,School for Legal Studies,24.6
08X559,School for Tourism and Hospitality,7.933333333
02M413,School of the Future High School,22.26666667
08X348,Schuylerville Preparatory High School,12.73333333
13K419,"Science Skills Center High School for Science, Technology, and the Creative Arts",19.6
17K543,"Science, Technology, and Research Early College High School at Erasmus",19.73333333
15K463,Secondary School for Journalism,12.33333333
15K462,Secondary School for Law,8.866666667
07X221,South Bronx Preparatory (College Board),35.86666667
03M859,Special Music School,12.53333333
19K422,Spring Creek Community School,20.2
31R605,Staten Island Technical High School,51
02M139,Stephen T. Mather Building Arts and Craftsmanship High School,15.33333333
02M475,Stuyvesant High School,129.6
15K667,Sunset Park High School,56.66666667
31R460,Susan E. Wagner High School,122.4666667
02M519,Talent Unlimited High School,19.4
23K697,Teachers Preparatory High School,16.86666667
11X514,Bronxwood Preparatory Academy,11.46666667
16K688,Brooklyn Academy of Global Finance,10.26666667
12X478,Cinema School,12.86666667
14K478,"High School for Enterprise, Business, and Technology",23.13333333
17K528,High School for Global Citizenship,12.66666667
10X237,"Marie Curie School for Medicine, Nursing, and Health Professions",9.133333333
12X521,Metropolitan Soundview High School,10.46666667
19K683,"School for Classics: An Academy of Thinkers, Writers, and Performers",19
07X551,Urban Assembly Bronx Academy of Letters,29.6
19K764,Urban Assembly School for Collaborative Healthcare,3.066666667
13K483,Urban Assembly School for Law and Justice,20.93333333
10X225,Theatre Arts Production Company School,30.53333333
28Q620,Thomas A. Edison Career and Technical Education High School,87.33333333
05M670,Thurgood Marshall Academy for Learning and Social Change,21.26666667
31R455,Tottenville High School,122.6666667
25Q525,Townsend Harris High School,36.73333333
19K615,Transit Tech Career and Technical Education High School,41.33333333
02M533,Union Square Academy for Health Sciences,10.66666667
02M500,Unity Center for Urban Technologies,10.06666667
